Title	Subtitle	Description	Version	Official Type	Full Example
Hardware	Openschemas specification to describe a hardware component of a computational system	This Hardware profile specification presents a an abstract representation of hardware used in a computational environment.	0.0.1	https://schema.org/Thing	https://github.com/openschemas/spec-hardware
					g
